,FilmID,Tittel,Sjanger
183,186,Hellraiser III: Hell on Earth (1992),Horror
184,187,Playing God (1997),Crime|Thriller
185,188,Alien³ (1992),Action|Horror|Sci-Fi|Thriller
186,189,"Far Off Place, A (1993)",Adventure|Children's|Drama|Romance
187,190,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
188,191,Lord of the Flies (1963),Adventure|Drama|Thriller
189,192,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance
190,193,Smiling Fish and Goat on Fire (1999),Drama
191,194,"Sea Wolves, The (1980)",Action|War
192,195,We're Back! A Dinosaur's Story (1993),Animation|Children's
193,196,"Scarlet Letter, The (1926)",Drama
194,197,Vampire in Brooklyn (1995),Comedy|Romance
195,198,Conceiving Ada (1997),Drama|Sci-Fi
196,199,"Great Day in Harlem, A (1994)",Documentary
197,200,Pet Sematary (1989),Horror
198,201,Virtuosity (1995),Sci-Fi|Thriller
199,202,"Love Bewitched, A (El Amor Brujo) (1986)",Musical
200,203,Midnight Run (1988),Action|Adventure|Comedy|Crime
201,204,Three Days of the Condor (1975),Thriller
202,205,Ordinary People (1980),Drama
203,206,"Golden Bowl, The (2000)",Drama
204,207,Something for Everyone (1970),Comedy|Crime
205,208,Suture (1993),Film-Noir|Thriller
206,209,"Shop Around the Corner, The (1940)",Comedy|Romance
207,210,"Blue Lagoon, The (1980)",Adventure|Drama|Romance
208,211,"301, 302 (1995)",Mystery
209,212,Elstree Calling (1930),Comedy|Musical
210,213,Child's Play 3 (1992),Horror
211,214,Drugstore Cowboy (1989),Crime|Drama
212,215,"Van, The (1996)",Comedy|Drama
213,216,Duel in the Sun (1946),Western
214,217,Leatherface: Texas Chainsaw Massacre III (1990),Horror
215,218,Bed of Roses (1996),Drama|Romance
216,219,Whatever (1998),Drama
217,220,"Evening Star, The (1996)",Comedy|Drama
218,221,"Baby-Sitters Club, The (1995)",Children's
219,222,"Terrorist, The (Malli) (1998)",Drama
220,223,"Hustler, The (1961)",Drama
221,224,Stalingrad (1993),War
222,225,When a Man Loves a Woman (1994),Drama
223,226,Sonic Outlaws (1995),Documentary
224,227,"Good Earth, The (1937)",Drama
225,228,Erin Brockovich (2000),Drama
226,229,Madeline (1998),Children|Comedy
227,230,Love Affair (1994),Drama|Romance
228,231,Whipped (2000),Comedy
229,232,"Dog's Life, A (1920)",Comedy
230,233,Paris Was a Woman (1995),Documentary
231,234,To Cross the Rubicon (1991),Drama
232,235,Winnie the Pooh and the Blustery Day (1968),Animation|Children
233,236,"In Crowd, The (2000)",Thriller
234,237,Fried Green Tomatoes (1991),Drama
235,238,Dead Again (1991),Mystery|Romance|Thriller
236,239,SubUrbia (1997),Comedy
237,240,Braddock: Missing in Action III (1988),Action|War
238,241,Wild Wild West (1999),Action|Sci-Fi|Western
239,242,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
240,243,Good Will Hunting (1997),Drama
241,245,Tetsuo II: Body Hammer (1992),Sci-Fi
242,246,Modern Times (1936),Comedy
243,247,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller
244,248,Resurrection Man (1998),Drama|Thriller
245,249,"Institute Benjamenta, or This Dream People Call Human Life (1995)",Drama
246,250,Heidi Fleiss: Hollywood Madam (1995),Documentary
247,251,Braindead (1992),Comedy|Horror
248,252,Criminal Lovers (Les Amants Criminels) (1999),Drama|Romance
249,253,"Superweib, Das (1996)",Comedy
250,254,Traveller (1997),Drama
251,255,Zero Kelvin (Kjærlighetens kjøtere) (1995),Action
252,256,What Happened Was... (1994),Comedy|Drama|Romance
253,257,Old Yeller (1957),Children's|Drama
254,258,Half Baked (1998),Comedy
255,259,Nénette et Boni (1996),Drama
256,260,"Thirteenth Floor, The (1999)",Drama|Sci-Fi|Thriller
257,261,Beyond the Poseidon Adventure (1979),Adventure
258,262,"Little Rascals, The (1994)",Children's|Comedy
259,263,"Ennui, L' (1998)",Drama|Romance
260,264,Power 98 (1995),Action|Mystery|Thriller
261,265,"Bridges of Madison County, The (1995)",Drama|Romance
262,266,Screwed (2000),Comedy
263,267,Bonfire of the Vanities (1990),Comedy
264,268,Repossessed (1990),Comedy
265,269,"Mystery, Alaska (1999)",Comedy
266,270,Shanghai Noon (2000),Action
267,271,Seven Years in Tibet (1997),Drama|War
268,272,"Browning Version, The (1994)",Drama
269,273,Charade (1963),Comedy|Mystery|Romance|Thriller
270,274,"Muppet Christmas Carol, The (1992)",Children's|Musical
271,275,Anguish (Angustia) (1986),Horror
272,276,Holy Man (1998),Comedy
273,277,Twelfth Night (1996),Comedy|Drama|Romance
274,278,Candyman: Farewell to the Flesh (1995),Horror
275,279,"Fly II, The (1989)",Horror|Sci-Fi
276,280,Frank and Ollie (1995),Documentary
277,281,"Daytrippers, The (1996)",Mystery
278,282,"Lady Vanishes, The (1938)",Comedy|Mystery|Romance|Thriller
279,283,Lady and the Tramp (1955),Animation|Children's|Comedy|Musical|Romance
280,284,Sommersby (1993),Drama|Mystery|Romance
281,285,"Velocity of Gary, The (1998)",Comedy|Romance
282,286,Six-String Samurai (1998),Action|Adventure|Sci-Fi
283,287,Key Largo (1948),Crime|Drama|Film-Noir|Thriller
284,288,Hairspray (1988),Comedy|Drama
285,289,Gridlock'd (1997),Crime
286,290,"Night to Remember, A (1958)",Action|Drama
287,291,Horror Hotel (a.k.a. The City of the Dead) (1960),Horror
288,292,Drop Zone (1994),Action
289,293,Beyond Silence (1996),Drama
290,294,Reach the Rock (1997),Comedy
291,295,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Fantasy|Sci-Fi
292,296,Dream Man (1995),Thriller
293,297,Juno and Paycock (1930),Drama
294,298,Sullivan's Travels (1942),Comedy
295,299,200 Cigarettes (1999),Comedy|Drama
296,300,Shanghai Surprise (1986),Adventure
297,301,Idle Hands (1999),Comedy|Horror
298,302,Renaissance Man (1994),Comedy|Drama|War
299,303,Giant (1956),Drama
300,304,Smilla's Sense of Snow (1997),Action|Drama|Thriller
301,305,I'm Not Rappaport (1996),Comedy
302,306,"Love, etc. (1996)",Drama
303,307,Jamaica Inn (1939),Drama
304,308,"Insider, The (1999)",Drama
305,309,Bossa Nova (1999),Comedy
306,310,Miller's Crossing (1990),Drama
307,311,Stir of Echoes (1999),Thriller
308,312,To Sir with Love (1967),Drama
309,313,"Big Sleep, The (1946)",Film-Noir|Mystery
310,314,"Year My Voice Broke, The (1987)",Drama
311,315,Philadelphia (1993),Drama
312,316,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance
313,317,A Chef in Love (1996),Comedy
314,318,Detroit 9000 (1973),Action|Crime
315,319,Rush Hour (1998),Action|Thriller
316,320,Hard Target (1993),Action|Adventure|Crime|Thriller
317,321,Herbie Goes Bananas (1980),Adventure|Children|Comedy
318,322,Mortal Thoughts (1991),Mystery|Thriller
319,323,Flight of the Navigator (1986),Adventure|Children|Sci-Fi
320,324,"Endless Summer, The (1966)",Documentary
321,325,Beautiful Thing (1996),Drama|Romance
322,326,"Untouchables, The (1987)",Action|Crime|Drama
323,327,My Tutor (1983),Drama
324,328,Office Killer (1997),Thriller
325,329,"Double Life of Veronique, The (La Double Vie de Véronique) (1991)",Drama
326,330,"Battle of the Sexes, The (1959)",Comedy
327,331,"Big Carnival, The (1951)",Drama
328,332,Jumanji (1995),Adventure|Children's|Fantasy
329,333,Digimon: The Movie (2000),Adventure|Animation|Children's
330,334,"Jerky Boys, The (1994)",Comedy
331,335,"Proprietor, The (1996)",Drama
332,336,Any Number Can Win (Mélodie en sous-sol ) (1963),Crime
333,337,Brown's Requiem (1998),Drama
334,338,Jerry Maguire (1996),Drama|Romance
335,339,"Pillow Book, The (1995)",Drama|Romance
336,340,"Boys of St. Vincent, The (1993)",Drama
337,341,"Ugly, The (1997)",Horror|Thriller
338,342,American Strays (1996),Action
339,343,Somebody is Waiting (1996),Drama
340,345,Shakes the Clown (1991),Comedy
341,346,Retro Puppetmaster (1999),Horror|Sci-Fi|Thriller
342,347,New Rose Hotel (1998),Action|Drama
343,348,"Quest, The (1996)",Action|Adventure
344,349,"Navigator: A Mediaeval Odyssey, The (1988)",Adventure|Fantasy|Sci-Fi
345,350,Underworld (1997),Thriller
346,351,Village of the Damned (1960),Horror|Sci-Fi|Thriller
347,352,Mr. Holland's Opus (1995),Drama
348,353,"Mummy, The (1999)",Action|Adventure|Horror|Thriller
349,354,It Takes Two (1995),Comedy
350,355,Voyage to the Beginning of the World (1997),Drama
351,356,Picnic at Hanging Rock (1975),Drama|Mystery
352,357,Flawless (1999),Drama
353,359,Jack Frost (1998),Comedy|Drama
354,360,Police Academy 2: Their First Assignment (1985),Comedy
355,361,Dreamscape (1984),Adventure|Crime|Sci-Fi|Thriller
356,362,"End of the Affair, The (1999)",Drama
357,363,"Hot Spot, The (1990)",Drama|Romance
358,364,Lulu on the Bridge (1998),Drama|Mystery|Romance
359,365,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi
360,366,"Road to Wellville, The (1994)",Comedy
361,367,Bambi (1942),Animation|Children's
362,368,Fresh (1994),Drama
363,369,Small Faces (1995),Drama
364,370,Warriors of Virtue (1997),Action|Adventure|Children|Fantasy
365,371,Swept from the Sea (1997),Romance
366,372,Clara's Heart (1988),Drama
367,373,Best Laid Plans (1999),Crime|Drama
368,374,"Muse, The (1999)",Comedy|Drama
369,375,Tomorrow Never Dies (1997),Action|Romance|Thriller
370,376,Anastasia (1997),Animation|Children's|Musical
371,377,Cutthroat Island (1995),Action|Adventure|Romance
372,378,Son of Frankenstein (1939),Horror
373,379,In & Out (1997),Comedy
374,380,Grease (1978),Comedy|Musical|Romance
375,381,Alphaville (1965),Sci-Fi
376,382,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama
377,383,Vacation (1983),Comedy
378,384,Grease 2 (1982),Comedy|Musical|Romance
379,385,Daughter of Dr. Jeckyll (1957),Horror
380,386,Jaws 2 (1978),Action|Horror
381,387,"Man Who Knew Too Little, The (1997)",Comedy|Mystery
382,388,Love! Valour! Compassion! (1997),Drama|Romance
383,389,Train of Life (Train De Vie) (1998),Comedy|Drama
384,390,"Rock, The (1996)",Action|Adventure|Thriller
385,391,Bitter Sugar (Azucar Amargo) (1996),Drama
386,392,See the Sea (Regarde la mer) (1997),Drama
387,393,"Sadness of Sex, The (1995)",Drama
388,394,"Midaq Alley (Callejón de los milagros, El) (1995)",Drama
389,395,"Poseidon Adventure, The (1972)",Action|Adventure
390,396,"Bridge on the River Kwai, The (1957)",Drama|War
391,397,Scream (1996),Horror|Thriller
392,398,Love & Sex (2000),Comedy|Romance
393,399,Die Hard: With a Vengeance (1995),Action|Thriller
394,400,"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",Drama
395,401,Firestarter (1984),Horror|Thriller
396,402,Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama
397,403,Gospa (1995),Drama
398,404,Coneheads (1993),Comedy|Sci-Fi
399,406,"Little Princess, The (1939)",Children's|Drama
400,407,"Great Mouse Detective, The (1986)",Animation|Children's
401,408,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance
402,409,Medicine Man (1992),Adventure|Romance
403,410,Stefano Quantestorie (1993),Comedy|Drama
404,411,Air America (1990),Action|Comedy
405,412,"Ghost of Frankenstein, The (1942)",Horror
406,413,She's Gotta Have It (1986),Comedy|Romance
407,414,Stalker (1979),Mystery|Sci-Fi
408,415,"Exorcist, The (1973)",Horror
409,416,Carnosaur 2 (1995),Horror|Sci-Fi
410,417,Angels in the Outfield (1994),Children's|Comedy
411,418,Pitch Black (2000),Action|Sci-Fi
412,419,Funny Bones (1995),Comedy
413,420,Billy's Hollywood Screen Kiss (1997),Comedy|Romance
414,421,Kurt & Courtney (1998),Documentary|Musical
415,422,"Man Who Would Be King, The (1975)",Adventure
416,423,Something Wicked This Way Comes (1983),Children|Horror
417,424,"Fugitive, The (1993)",Action|Thriller
418,425,"Kill, Baby... Kill! (Operazione Paura) (1966)",Horror
419,426,Knightriders (1981),Action|Adventure|Drama
420,427,Heaven's Prisoners (1996),Mystery|Thriller
421,428,Tango (1998),Drama
422,429,Laura (1944),Crime|Film-Noir|Mystery
423,430,Sorority House Massacre II (1990),Horror
424,431,Switchblade Sisters (1975),Crime
425,432,Alive (1993),Drama
426,433,"Green Mile, The (1999)",Drama|Thriller
427,434,"Raven, The (1963)",Comedy|Horror
428,435,They Might Be Giants (1971),Comedy|Romance
429,436,Return of the Fly (1959),Horror|Sci-Fi
430,437,"Hurricane, The (1999)",Drama
431,438,Taxi Driver (1976),Drama|Thriller
432,439,Action Jackson (1988),Action|Comedy
433,440,Kramer Vs. Kramer (1979),Drama
434,441,FairyTale: A True Story (1997),Children|Drama|Fantasy
435,442,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller
436,443,Children of Paradise (Les enfants du paradis) (1945),Drama|Romance
437,444,Eternity and a Day (Mia eoniotita ke mia mera ) (1998),Drama
438,445,"Mole People, The (1956)",Sci-Fi
439,446,"Lord of the Rings, The (1978)",Adventure|Animation|Children's|Sci-Fi
440,447,Meet Me in St. Louis (1944),Musical
441,448,Why Do Fools Fall In Love? (1998),Drama
442,449,Dear Diary (Caro Diario) (1994),Comedy|Drama
443,450,Gandhi (1982),Drama
444,451,Meet the Deedles (1998),Children|Comedy
445,452,"Specialist, The (1994)",Action
446,453,Flashdance (1983),Drama|Romance
447,454,Legends of the Fall (1994),Drama|Romance|War|Western
448,455,Cabaret Balkan (Bure Baruta) (1998),Drama
449,456,"Verdict, The (1982)",Drama
450,457,Species (1995),Horror|Sci-Fi
451,458,"Savage Nights (Nuits fauves, Les) (1992)",Drama
452,459,Kicked in the Head (1997),Comedy|Drama
453,460,Cheetah (1989),Adventure|Children's
454,461,Permanent Midnight (1998),Drama
455,462,Farewell My Concubine (1993),Drama|Romance
456,463,Dirty Work (1998),Comedy
457,464,"Boondock Saints, The (1999)",Action|Comedy
458,465,Under Capricorn (1949),Drama
459,466,"Few Good Men, A (1992)",Crime|Drama
460,467,"Apple Dumpling Gang Rides Again, The (1979)",Children|Comedy|Western
461,468,Prince Valiant (1997),Adventure
462,469,Rope (1948),Thriller
463,470,"Brandon Teena Story, The (1998)",Documentary
464,471,"Player's Club, The (1998)",Action|Drama
465,472,Predator 2 (1990),Action|Sci-Fi|Thriller
466,473,Splash (1984),Comedy|Fantasy|Romance
467,474,Brenda Starr (1989),Adventure
468,475,Mission: Impossible 2 (2000),Action|Thriller
469,476,Joe's Apartment (1996),Comedy|Musical
470,477,"Crossing Guard, The (1995)",Drama
471,478,Cruel Intentions (1999),Drama
472,479,Jules and Jim (Jules et Jim) (1961),Drama
473,480,Doctor Dolittle (1967),Adventure|Musical
474,481,Hell Night (1981),Horror
475,482,Godzilla (Gojira) (1954),Action|Sci-Fi
476,483,"School of Flesh, The (L' École de la chair) (1998)",Drama
477,484,Peter Pan (1953),Animation|Children|Fantasy|Musical
478,485,South Pacific (1958),Musical|Romance|War
479,486,"Dorado, El (1967)",Western
480,487,Mighty Aphrodite (1995),Comedy
481,488,Bad Boys (1995),Action
482,489,Paths of Glory (1957),Drama|War
483,490,It's in the Water (1998),Comedy
484,491,With Honors (1994),Comedy|Drama
485,492,Melody Time (1948),Animation|Children|Musical
486,493,Otello (1986),Drama
487,494,Diva (1981),Action|Drama|Mystery|Romance|Thriller
488,495,Cosi (1996),Comedy
489,496,Lethal Weapon 4 (1998),Action|Comedy|Crime|Drama
490,497,Only You (1994),Comedy|Romance
491,498,You Can't Take It With You (1938),Comedy
492,499,Home for the Holidays (1995),Drama
493,500,Magnum Force (1973),Western
494,501,Out of Africa (1985),Drama|Romance
495,502,Wayne's World 2 (1993),Comedy
496,503,Double Jeopardy (1999),Action|Thriller
497,504,Death Wish II (1982),Action|Drama
498,505,Turn It Up (2000),Crime|Drama
499,506,Happiness (1998),Comedy
500,507,Young Guns II (1990),Action|Comedy|Western
501,508,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi
502,509,Anna (1996),Drama
503,510,Bad Lieutenant (1992),Crime|Drama
504,511,Goldfinger (1964),Action
505,512,"McCullochs, The (1975)",Drama
506,513,Dracula (1931),Horror
507,514,Gloria (1999),Drama|Thriller
508,515,Class Reunion (1982),Comedy
509,516,Citizen's Band (a.k.a. Handle with Care) (1977),Comedy
510,517,Heartburn (1986),Comedy|Drama
511,518,Mary Reilly (1996),Drama|Thriller
512,519,"Mark of Zorro, The (1940)",Adventure
513,520,"Kentucky Fried Movie, The (1977)",Comedy
514,521,Crumb (1994),Documentary
515,522,Safe Men (1998),Comedy
516,523,"X-Files: Fight the Future, The (1998)",Mystery|Sci-Fi|Thriller
517,524,Carried Away (1996),Drama|Romance
518,525,Déjà Vu (1997),Drama|Romance
519,526,Wishmaster (1997),Horror
520,527,Jeremiah Johnson (1972),Western
521,528,Rob Roy (1995),Drama|Romance|War
522,529,"Butcher's Wife, The (1991)",Comedy|Romance
523,530,Solar Crisis (1993),Sci-Fi|Thriller
524,531,"Farmer's Wife, The (1928)",Comedy
525,532,"Love Bug, The (1969)",Children|Comedy
526,533,Vibes (1988),Adventure|Comedy
527,534,Casablanca (1942),Drama|Romance|War
528,535,"Girl on the Bridge, The (La Fille sur le Pont) (1999)",Drama|Romance
529,536,"Adventures of Elmo in Grouchland, The (1999)",Children's|Comedy
530,537,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Children
531,538,Fierce Creatures (1997),Comedy
532,539,Outrageous Fortune (1987),Comedy|Mystery
533,540,Mr. Nice Guy (1997),Action|Comedy
534,541,Peanuts - Die Bank zahlt alles (1996),Comedy
535,542,Destination Moon (1950),Sci-Fi
536,543,"Henry: Portrait of a Serial Killer, Part 2 (1996)",Crime|Horror
537,544,Heaven's Burning (1997),Action|Drama
538,545,Nothing But Trouble (1991),Adventure|Comedy
539,546,"Godfather: Part III, The (1990)",Action|Crime|Drama
540,547,Fluke (1995),Children|Drama
541,548,Police Academy 3: Back in Training (1986),Comedy
542,549,It Happened Here (1961),Drama
543,550,Project Moon Base (1953),Sci-Fi
544,551,Two Much (1996),Comedy|Romance
545,552,Titus (1999),Drama
546,553,8MM (1999),Thriller
547,554,Live Virgin (1999),Comedy
548,555,New Jersey Drive (1995),Crime|Drama
549,556,Steam: The Turkish Bath (Hamam) (1997),Drama|Romance
550,557,Knockout (1999),Action|Adventure
551,558,To Be or Not to Be (1942),Comedy|Drama|War
552,559,"Raisin in the Sun, A (1961)",Drama
553,560,Air Force One (1997),Action|Thriller
554,561,Conspiracy Theory (1997),Action|Mystery|Romance|Thriller
555,562,Mike's Murder (1984),Mystery
556,563,Gattaca (1997),Drama|Sci-Fi|Thriller
557,564,Private Benjamin (1980),Comedy
